Date,Price
7/17/2017,1672
7/18/2017,1686.97
7/19/2017,1695
7/20/2017,1692
7/21/2017,1694
7/24/2017,1699
7/25/2017,1707
7/26/2017,1721
7/27/2017,1735
7/28/2017,1740
7/31/2017,1750
8/1/2017,1741
8/2/2017,1736
8/3/2017,1730
8/4/2017,1746
8/7/2017,1740
8/8/2017,1755
8/9/2017,1751
8/10/2017,1769
8/11/2017,1775
8/14/2017,1805
8/15/2017,1835
8/16/2017,1833
8/17/2017,1833
8/18/2017,1820
8/21/2017,1822
8/22/2017,1820
8/23/2017,1821
8/24/2017,1822
8/25/2017,1826
8/28/2017,1830
8/29/2017,1837
8/30/2017,1825
8/31/2017,1824
9/4/2017,1765
9/5/2017,1729
9/6/2017,1712
9/7/2017,1725
9/8/2017,1729
9/11/2017,1735
9/12/2017,1734
9/13/2017,1727
9/14/2017,1720
9/15/2017,1729
9/18/2017,1727
9/19/2017,1730
9/20/2017,1734
9/21/2017,1738
9/22/2017,1734
9/25/2017,1735
9/26/2017,1731
9/27/2017,1724
9/28/2017,1722
9/29/2017,1718
10/2/2017,1717
10/3/2017,1716
10/4/2017,1707
10/5/2017,1710
10/6/2017,1697
10/10/2017,1674
10/11/2017,1678
10/12/2017,1671
10/13/2017,1676
10/16/2017,1663
10/17/2017,1665
10/18/2017,1665
10/19/2017,1665
10/20/2017,1663
10/23/2017,1660
10/24/2017,1670
10/25/2017,1693
10/26/2017,1691
10/27/2017,1688
10/30/2017,1685
10/31/2017,1680
11/1/2017,1691
11/2/2017,1727
11/3/2017,1748
11/6/2017,1750
11/7/2017,1750
11/8/2017,1738
11/9/2017,1746
11/10/2017,1741
11/13/2017,1739
11/14/2017,1718
11/15/2017,1710
11/16/2017,1725
11/17/2017,1729
11/20/2017,1727
11/21/2017,1752
11/22/2017,1764
11/23/2017,1778
11/24/2017,1781
11/27/2017,1771
11/28/2017,1772
11/29/2017,1771
11/30/2017,1782
12/1/2017,1784
12/4/2017,1783
12/5/2017,1788
12/6/2017,1794
12/7/2017,1804
12/8/2017,1802
12/11/2017,1804
12/12/2017,1808
12/13/2017,1808
12/14/2017,1791
12/15/2017,1796
12/18/2017,1791
12/19/2017,1793
12/20/2017,1992
12/21/2017,1991
12/22/2017,1997
12/27/2017,2001
12/28/2017,1967
12/29/2017,1962
1/2/2018,1978
1/3/2018,1977
1/4/2018,1967
1/5/2018,1970
1/8/2018,1970
1/9/2018,1960
1/10/2018,1973
1/11/2018,1989
1/12/2018,2018
1/15/2018,2023
1/16/2018,2023
1/17/2018,2017
1/18/2018,2016
1/19/2018,2018
1/22/2018,2033
1/23/2018,2037
1/24/2018,2050
1/25/2018,2028
1/29/2018,2053
1/30/2018,2056
1/31/2018,2057
2/1/2018,2062
2/2/2018,2058
2/5/2018,2061.86
2/6/2018,2078
2/7/2018,2080
2/8/2018,2077
2/9/2018,2078
2/12/2018,2046
2/13/2018,2087
2/14/2018,2075
2/15/2018,2076
2/19/2018,2075
2/20/2018,2065
2/21/2018,2074
2/22/2018,2064
2/23/2018,2061
2/26/2018,2064
2/27/2018,2049
2/28/2018,2044
3/1/2018,2056
3/2/2018,2079
3/5/2018,2086
3/6/2018,2091
3/7/2018,2096
3/9/2018,2095
3/12/2018,2092
3/13/2018,2100
3/14/2018,2095
3/15/2018,2118
3/16/2018,2124
3/19/2018,2149
3/20/2018,2183
3/21/2018,2163
3/22/2018,2180
3/23/2018,2179
3/26/2018,2182
3/27/2018,2194
3/28/2018,2194
3/29/2018,2203
4/3/2018,2235
4/4/2018,2233
4/5/2018,2248
4/6/2018,2270
4/9/2018,2264
4/10/2018,2256
4/11/2018,2264
4/12/2018,2264
4/13/2018,2259
4/16/2018,2264
4/17/2018,2255
4/18/2018,2247
4/19/2018,2210
4/20/2018,2203
4/23/2018,2216
4/24/2018,2193
4/25/2018,2200
4/26/2018,2201
4/27/2018,2187
4/30/2018,2172
5/2/2018,2180
5/3/2018,2171
5/4/2018,2169
5/7/2018,2183
5/8/2018,2244
5/9/2018,2190
5/10/2018,2199
5/11/2018,2199
5/14/2018,2186
5/15/2018,2185
5/16/2018,2177
5/17/2018,2165
5/18/2018,2158
5/21/2018,2142
5/22/2018,2110
5/23/2018,2111
5/24/2018,2094
5/25/2018,2089
5/28/2018,2058
5/29/2018,2069
5/30/2018,2075
5/31/2018,2077
6/1/2018,2055
6/4/2018,2058
6/5/2018,2089
6/6/2018,2076
6/7/2018,2104
6/8/2018,2115.78
6/11/2018,2091
6/12/2018,2104
6/13/2018,2107
6/14/2018,2120
6/18/2018,2125
6/19/2018,2130
6/20/2018,2131
6/21/2018,2128
6/22/2018,2135
6/25/2018,2123
6/26/2018,2111
6/27/2018,2107
6/28/2018,2106
6/29/2018,2089
7/2/2018,2080
7/3/2018,2067
7/4/2018,2059
7/5/2018,2062
7/6/2018,2078
7/9/2018,2091
7/11/2018,2083
7/12/2018,2069
7/13/2018,2064
7/16/2018,2048
7/17/2018,2028
7/18/2018,2044
7/19/2018,2045
7/20/2018,2062
7/23/2018,2066
7/24/2018,2056
7/25/2018,2056
7/26/2018,2066
7/27/2018,2077
7/30/2018,2068
7/31/2018,2059
8/1/2018,2025
8/2/2018,2026
8/3/2018,2044
8/6/2018,2057
8/7/2018,2054
8/8/2018,2058
8/9/2018,2056
8/10/2018,2068
8/13/2018,2085
8/14/2018,2083
8/15/2018,2083
8/16/2018,2079
8/17/2018,2076
8/20/2018,2073
8/22/2018,2063
8/23/2018,2056
8/24/2018,2054
8/27/2018,2046
8/28/2018,2009
8/29/2018,2008
8/30/2018,2004
8/31/2018,2002
9/3/2018,1953
9/4/2018,1947
9/5/2018,1962
9/6/2018,1944
9/7/2018,1922
9/10/2018,1901
9/11/2018,1915.47
9/12/2018,1894
9/13/2018,1874
9/14/2018,1857
9/17/2018,1869
9/18/2018,1859
9/19/2018,1547.62
9/20/2018,1826
9/21/2018,1770
9/24/2018,1726
9/25/2018,1766
9/26/2018,1779
9/27/2018,1800
9/28/2018,1825
10/1/2018,1820
10/2/2018,1846
10/3/2018,1837
10/4/2018,1825
10/5/2018,1843
10/8/2018,1839
10/10/2018,1814
10/11/2018,1817
10/12/2018,1797
10/15/2018,1767
10/16/2018,1750
10/17/2018,1699
10/18/2018,1724
10/19/2018,1739
10/22/2018,1770
10/23/2018,1774
10/24/2018,1774
10/25/2018,1780
10/26/2018,1776
10/29/2018,1776
10/30/2018,1770
10/31/2018,1760
11/1/2018,1748
11/2/2018,1763
11/5/2018,1754
11/6/2018,1774
11/7/2018,1753
11/8/2018,1729
11/9/2018,1719
11/12/2018,1716
11/13/2018,1689
11/14/2018,1701
11/15/2018,1697
11/16/2018,1681
11/19/2018,1687
11/20/2018,1692
11/21/2018,1677.4
11/22/2018,1668
11/23/2018,1676
11/26/2018,1678
11/27/2018,1685
11/28/2018,1680
11/29/2018,1709
11/30/2018,1718
12/3/2018,1723
12/4/2018,1743
12/5/2018,1751
12/6/2018,1747
12/7/2018,1745
12/10/2018,1733
12/11/2018,1727
12/12/2018,1726.67
12/13/2018,1713.48
12/14/2018,1680.89
12/17/2018,1690.85
12/18/2018,1674.57
12/19/2018,1645.63
12/20/2018,1612.3
12/21/2018,1617.07
12/24/2018,1601.45
12/27/2018,1623
12/28/2018,1637.28
12/31/2018,1649.39
1/2/2019,1633.07
1/3/2019,1618.01
1/4/2019,1618.29
1/7/2019,1603.19
1/8/2019,1598.18
1/9/2019,1598.01
1/10/2019,1590.22
1/11/2019,1607.49
1/14/2019,1602.6
